fecha,temp.ctsUPS,precip.ctsUPS,hum.ctsUPS,rad.ctsUPS,pres.ctsUPS,vviento.ctsUPS,dviento.ctsUPS
6/1/2015 0:59,10.3,0,86,0,754.1,0.4,259
6/1/2015 1:59,10.5,0,85,0,753.8,0.7,257
6/1/2015 2:59,11.1,0,83,0,753.5,0.4,257
6/1/2015 3:59,11.1,0,84,0,753.4,0.6,94
6/1/2015 4:59,10.3,0,88,0,753.4,0.3,124
6/1/2015 5:59,9.4,0,91,0,753.8,0.4,230
6/1/2015 6:59,9.2,0,90,16,754.2,0.5,258
6/1/2015 7:59,11.3,0,81,109,754.9,0.2,107
6/1/2015 8:59,14.2,0,68,156,755.3,0.4,16
6/1/2015 9:59,17.9,0,54,415,755.1,1.9,75
6/1/2015 10:59,17.7,0,54,254,755,1.9,85
6/1/2015 11:59,18,0,53,326,754.5,2.9,72
6/1/2015 12:59,18.9,0,48,593,753.9,3.7,79
6/1/2015 13:59,18,0,52,364,753.1,4.5,81
6/1/2015 14:59,15.6,0.5,72,256,752.6,2.2,94
6/1/2015 15:59,16.5,0,67,231,752,1.7,303
6/1/2015 16:59,16.2,0,68,166,752,3,53
6/1/2015 17:59,16.4,0,64,36,752,1.7,42
6/1/2015 18:59,15.7,0,65,1,752.3,1.9,52
6/1/2015 19:59,14.5,0,70,0,752.9,0.7,108
6/1/2015 20:59,13.1,0,78,0,753.6,1.1,254
6/1/2015 21:59,12.2,0,81,0,754,0.9,248
6/1/2015 22:59,12.4,0,81,0,753.9,0.4,278
6/1/2015 23:59,12.5,0,80,0,753.9,0.4,91
6/2/2015 0:59,12.4,0,81,0,753.7,0.7,93
6/2/2015 1:59,12.4,0,80,0,753.3,0,245
6/2/2015 2:59,12.3,0,82,0,753,0.3,156
6/2/2015 3:59,12.1,0,83,0,752.7,0.2,125
6/2/2015 4:59,12,0,83,0,752.8,0.3,98
6/2/2015 5:59,11.4,0,86,0,753,0.5,100
6/2/2015 6:59,10.9,0,88,15,753.4,0.5,244
6/2/2015 7:59,12.5,0,80,75,753.7,0.2,207
6/2/2015 8:59,15.9,0,60,79,754,1.7,64
6/2/2015 9:59,17.5,0,50,331,754,3.6,52
6/2/2015 10:59,18.2,0,46,505,753.9,5.4,55
6/2/2015 11:59,18.3,0,46,428,753.7,5.8,61
6/2/2015 12:59,18.7,0,44,349,753,5.2,73
6/2/2015 13:59,18.5,0,46,533,752.2,5.3,63
6/2/2015 14:59,18.4,0,49,309,751.5,3.9,75
6/2/2015 15:59,17.5,0,56,242,751.2,4.1,47
6/2/2015 16:59,17.1,0,59,253,751.4,4.3,41
6/2/2015 17:59,17.2,0,53,111,751.4,3.4,49
6/2/2015 18:59,16.4,0,53,2,751.7,3.1,56
6/2/2015 19:59,15.9,0,57,0,752.6,2.5,67
6/2/2015 20:59,15.4,0,61,0,753.2,2.4,70
6/2/2015 21:59,14.6,0,70,0,753.8,2.3,44
6/2/2015 22:59,13.4,0.2,81,0,754,1.2,58
6/2/2015 23:59,12.9,0.1,83,0,753.9,0.9,40
6/3/2015 0:59,12.9,0,82,0,753.6,0.9,109
6/3/2015 1:59,12.8,0,84,0,753.1,0.6,127
6/3/2015 2:59,12.7,0,84,0,752.6,1.1,80
6/3/2015 3:59,12.2,0,88,0,752.5,0.6,120
6/3/2015 4:59,11.6,0,91,0,752.4,0.5,116
6/3/2015 5:59,11.6,0,91,0,752.5,0.6,90
6/3/2015 6:59,11.6,0,91,13,752.7,0.4,107
6/3/2015 7:59,12.3,0,87,96,753.2,0.5,118
6/3/2015 8:59,13.4,0,82,145,753.8,1.1,90
6/3/2015 9:59,14.9,0,71,388,754.3,1.8,45
6/3/2015 10:59,16.6,0,62,504,754.1,2.6,59
6/3/2015 11:59,16.3,0,61,379,753.8,4.5,91
