fecha,temp.CebollarETAPA,precip.CebollarETAPA,hum.CebollarETAPA,rad.CebollarETAPA,pres.CebollarETAPA,vviento.CebollarETAPA,dviento.CebollarETAPA
6/1/2015 0:59,9.8,0,95,0,745.1898,0.001,90.7
6/1/2015 1:59,10.12,0,93.2,0,744.9489,0.124,244.5
6/1/2015 2:59,10.39,0,92.2,0,744.6205,0.001,192.7
6/1/2015 3:59,10.44,0,92,0,744.5306,0.456,186
6/1/2015 4:59,9.11,0,96.8,0,744.4893,0.16,160.1
6/1/2015 5:59,8.38,0,99.3,0,744.7906,0.082,219.1
6/1/2015 6:59,8.22,0,100,15.36625,745.2178,0.04,204.3
6/1/2015 7:59,11.79,0,87.9,230.4383,745.7996,0.458,165
6/1/2015 8:59,15.35,0,73.37,516.7289,746.274,0.979,154.2
6/1/2015 9:59,19.09,0,56.6,773.7274,746.2839,1.2,125.6
6/1/2015 10:59,19.46,0,53.81,646.4667,746.1949,1.564,102.2
6/1/2015 11:59,18.46,0,56.46,457.6304,745.8748,1.741,95.3
6/1/2015 12:59,19.07,0,54.74,484.1656,745.2734,1.56,93.8
6/1/2015 13:59,17.25,0.2,65.31,344.9597,744.4996,1.395,111.9
6/1/2015 14:59,15.06,0.5,78.37,216.1865,743.9266,1.345,131.8
6/1/2015 15:59,15.61,0.1,79.55,160.6681,743.3768,1.04,218.3
6/1/2015 16:59,15.46,0.6,79.93,205.4895,743.3471,0.96,91.3
6/1/2015 17:59,15.29,0,76.28,38.14997,743.3189,0.781,77.92
6/1/2015 18:59,13.65,0,80.8,1.572781,743.6117,0.45,117.3
6/1/2015 19:59,12.29,0,86.2,0,744.1622,0.227,274.5
6/1/2015 20:59,11.41,0,88.8,0,744.7249,0.029,277.5
6/1/2015 21:59,11.46,0,88.7,0,745.0745,0.137,265.4
6/1/2015 22:59,11.81,0,89.7,0,745.105,0.005,203.2
6/1/2015 23:59,11.76,0,91.2,0,745.0493,0.021,141
6/2/2015 0:59,11.53,0,91.3,0,744.8127,0.021,240.7
6/2/2015 1:59,11.3,0,92.6,0,744.4003,0.036,203.2
6/2/2015 2:59,11.58,0,90.8,0,744.1614,0.189,111.8
6/2/2015 3:59,11.58,0,88.5,0,743.8693,0.205,113.7
6/2/2015 4:59,11.11,0,92.2,0,743.9535,0.015,231.2
6/2/2015 5:59,10.83,0,89.2,0,744.1378,0.002,200
6/2/2015 6:59,11.66,0,82.4,15.42352,744.5148,0.425,62.99
6/2/2015 7:59,14.08,0,71.16,123.0992,744.8231,0.659,76.58
6/2/2015 8:59,16.38,0,63.29,365.7974,745.1233,1.031,88.6
6/2/2015 9:59,17.79,0,57.32,562.4347,745.2745,1.569,105.2
6/2/2015 10:59,19.58,0,51.36,755.8119,745.2623,1.87,96
6/2/2015 11:59,19.42,0,50.36,640.3094,745.1685,2.094,87.5
6/2/2015 12:59,18.97,0,50.74,443.8653,744.4783,1.965,90.8
6/2/2015 13:59,19.2,0,51.78,530.8336,743.6176,2.041,92.6
6/2/2015 14:59,18.68,0,55.18,453.5896,742.9175,1.886,93
6/2/2015 15:59,17.25,0,63.15,227.5594,742.673,1.412,63.27
6/2/2015 16:59,17.57,0,63.97,319.0376,742.824,1.408,73.46
6/2/2015 17:59,15.88,0,64.36,39.38216,742.777,1.025,79.49
