fecha,temp.ellabradoETAPA,precip.ellabradoETAPA,hum.ellabradoETAPA,rad.ellabradoETAPA,pres.ellabradoETAPA,vviento.ellabradoETAPA,dviento.ellabradoETAPA
6/1/2015 0:59,5.779,0,99.5,0,679.4118,0.462,172.4
6/1/2015 1:59,6.198,0,99.6,0,679.1204,0.53,113.1
6/1/2015 2:59,6.459,0,99.2,0,678.7417,1.036,92
6/1/2015 3:59,6.544,0,99.9,0,678.7285,1.107,93
6/1/2015 4:59,6.294,0,100,0,678.8213,0.365,96.7
6/1/2015 5:59,6.113,0,100,0.000936819,679.0599,0.414,200.6
6/1/2015 6:59,6.261,0,98.6,13.93754,679.4562,0.507,220.7
6/1/2015 7:59,7.672,0,94.6,99.5279,680.0094,0.449,179
6/1/2015 8:59,9.85,0,82.3,333.5222,680.2987,2.052,65.52
6/1/2015 9:59,10.68,0,78.17,411.6361,680.4428,2.473,60.35
6/1/2015 10:59,10.34,0,78.85,339.4357,680.4606,3.075,62.32
6/1/2015 11:59,10.11,0,81.8,353.771,680.1725,3.168,62.06
6/1/2015 12:59,10.41,0,79.11,374.1023,679.6279,3.592,60.41
6/1/2015 13:59,10.67,0,79.1,365.0472,678.9778,3.099,60.06
6/1/2015 14:59,9.54,0.1,86.5,165.0197,678.3345,2.536,67.23
6/1/2015 15:59,9.08,0.6,91.9,126.1487,677.8834,2.359,63.43
6/1/2015 16:59,8.24,0,97.3,65.44971,677.9005,2.087,71.13
6/1/2015 17:59,8.12,0,96.8,29.18126,677.9539,1.69,64.87
6/1/2015 18:59,7.525,0,98.6,0.7098549,678.2504,1.347,99.5
6/1/2015 19:59,6.26,0,100,0,678.6742,0.765,88.4
6/1/2015 20:59,5.372,0,100,0,679.0291,0.694,67.71
6/1/2015 21:59,6.323,0,98,0,679.3195,1.51,87.8
6/1/2015 22:59,6.976,0,96.8,0,679.2299,1.454,93.6
6/1/2015 23:59,6.928,0,97.7,0,679.3019,1.453,86.8
6/2/2015 0:59,6.833,0,97.2,0,679.0408,1.396,85.5
6/2/2015 1:59,6.599,0,97.4,0,678.6021,1.429,85.2
6/2/2015 2:59,6.675,0,96.4,0,678.2068,1.937,77.23
6/2/2015 3:59,6.741,0,92.9,0,678.0179,2.279,68.59
6/2/2015 4:59,6.591,0,91.7,0,678.1423,1.899,77.48
6/2/2015 5:59,6.402,0,91.7,0,678.3567,1.571,91.8
6/2/2015 6:59,6.5,0,90,12.79545,678.6631,1.792,83.9
6/2/2015 7:59,7.19,0,86.5,86.61378,678.9517,2.038,70.61
6/2/2015 8:59,8.2,0,81.6,159.85,679.2331,2.061,81.1
6/2/2015 9:59,9.73,0,77.65,347.5049,679.381,2.365,70.22
6/2/2015 10:59,10.13,0,76.47,356.2277,679.4818,3.312,67.43
6/2/2015 11:59,10.73,0,73.15,383.0455,679.3863,3.479,66.31
6/2/2015 12:59,10.85,0,73.66,424.7531,678.8085,3.36,65.27
6/2/2015 13:59,10.69,0,75.45,272.1129,678.0937,3.072,63.07
6/2/2015 14:59,9.54,0.4,84.4,169.7679,677.5073,2.714,62.03
6/2/2015 15:59,8.2,0.9,98.7,144.9664,677.1786,2.184,69.54
6/2/2015 16:59,7.639,0.6,98.5,90.57713,677.3537,2.048,66.67
6/2/2015 17:59,7.014,0,97.3,38.78207,677.5284,1.349,86.6
6/2/2015 18:59,6.486,0,99.5,1.413645,677.5862,1.443,114.3
6/2/2015 19:59,6.574,0,99.8,0,678.2265,1.728,88.5
6/2/2015 20:59,6.938,0.1,100,0,678.6743,1.855,86.7
6/2/2015 21:59,6.73,0.4,100,0,679.0148,1.954,73.46
6/2/2015 22:59,6.524,0.3,100,0,679.0399,2.191,77.84
6/2/2015 23:59,6.523,0.2,100,0,678.9945,2.131,78.39
6/3/2015 0:59,6.427,0.3,100,0,678.6613,2.355,72.17
6/3/2015 1:59,6.475,0.2,100,0,678.2603,3.21,64.13
6/3/2015 2:59,6.53,1.4,100,0,677.7018,2.673,66.62
6/3/2015 3:59,6.545,0.4,100,0,677.5848,2.784,65.77
6/3/2015 4:59,6.308,0,100,0,677.6956,2.185,74.32
6/3/2015 5:59,6.02,0,100,0,677.7278,1.895,89.6
6/3/2015 6:59,6.066,0.1,100,4.865842,677.8044,2.346,76.19
6/3/2015 7:59,6.254,0,99,45.02071,678.205,2.525,67.13
6/3/2015 8:59,6.781,0,97.5,118.8845,678.791,2.621,68.83
6/3/2015 9:59,7.343,0,96.3,177.4469,679.103,3.106,62.02
6/3/2015 10:59,7.553,0.1,94.8,188.9054,679.1768,3.531,63.52
6/3/2015 11:59,7.554,0,95.5,197.7238,679.0286,3.139,62.92
6/3/2015 12:59,7.907,0.1,95.4,245.7588,678.5644,3.649,62.99
6/3/2015 13:59,8.05,0.1,96.1,213.2929,678.0196,3.258,63.12
6/3/2015 14:59,8.44,0,94.9,167.1782,677.4169,2.784,59.32
6/3/2015 15:59,8.52,0,94.7,103.1723,677.0742,2.486,62.75
6/3/2015 16:59,8.28,0,95.7,55.25779,676.9522,3.037,62.37
6/3/2015 17:59,7.813,0,99.4,17.59341,677.2635,2.548,62.38
6/3/2015 18:59,7.677,0,99.1,0.6237085,677.545,1.881,72.19
6/3/2015 19:59,7.366,0,97.7,0,678.2015,2.069,71.61
6/3/2015 20:59,6.917,0,99.1,0,678.7502,2.736,64.06
6/3/2015 21:59,6.68,0,99.6,0,678.8803,2.914,64.49
6/3/2015 22:59,6.712,0.1,99.8,0,678.9893,3.676,64.87
6/3/2015 23:59,6.754,0.1,99.2,0,678.993,2.835,67.3
6/4/2015 0:59,6.478,0.5,100,0,678.819,3.6,62.05
6/4/2015 1:59,6.484,0,100,0,678.6813,3.118,66.71
6/4/2015 2:59,6.527,0.1,99.7,0,678.0862,2.432,73.97
6/4/2015 3:59,6.505,0,99.8,0,677.6459,2.921,67.62
6/4/2015 4:59,6.387,0.1,100,0,677.7816,2.958,66.17
6/4/2015 5:59,6.271,1,100,0,678.0946,3.067,62.46
6/4/2015 6:59,6.347,0,100,6.004878,678.0785,3.255,63.69
6/4/2015 7:59,6.548,0.3,100,30.62469,678.4841,3.077,65.8
6/4/2015 8:59,6.801,1,100,64.27595,679.0195,3.351,66.53
6/4/2015 9:59,7.277,0.3,99.9,120.1995,679.3722,3.144,67.5
6/4/2015 10:59,7.587,0.1,99.6,139.6818,679.4033,3.41,63.7
6/4/2015 11:59,7.782,0,98.8,139.7977,679.3535,3.62,65.39
6/4/2015 12:59,7.95,0,98.8,167.2573,679.1743,3.528,63.56
6/4/2015 13:59,8.89,0,94,245.0317,678.5623,3.018,65.99
6/4/2015 14:59,8.99,0.1,95,170.5223,677.8641,2.871,67.69
6/4/2015 15:59,8.89,0,96.2,194.4746,677.6442,2.769,66.24
6/4/2015 16:59,8.11,0.5,99.6,105.487,677.7028,2.611,68.19
6/4/2015 17:59,7.493,0.1,100,25.56269,678.0343,2.459,68.32
6/4/2015 18:59,7.049,0,100,1.779804,678.4512,1.731,77.75
6/4/2015 19:59,7.033,0.1,99.7,0,678.7888,1.821,84.3
6/4/2015 20:59,7.089,0.1,100,0,679.4188,2.483,76.05
6/4/2015 21:59,7.279,0,98.9,0,679.7248,2.855,69.84
6/4/2015 22:59,7.104,0,98.6,0,679.9847,2.801,71.69
6/4/2015 23:59,7.093,0,96.7,0,679.72,2.701,65.59
6/5/2015 0:59,7.056,0,95.8,0,679.5679,2.965,64.17
6/5/2015 1:59,6.902,0,96.2,0,679.0531,2.81,67.24
6/5/2015 2:59,6.384,0.4,99.7,0,678.6846,3.075,68.01
6/5/2015 3:59,6.209,0,97.2,0,678.3328,2.727,66.73
6/5/2015 4:59,6.657,0,92.2,0,678.1306,2.831,64.96
6/5/2015 5:59,6.303,0,97.2,0,678.3034,2.909,68.29
6/5/2015 6:59,6.399,0,96.7,4.817597,678.5209,3.205,63.12
6/5/2015 7:59,6.494,0.1,96,27.89999,678.804,2.85,65.12
6/5/2015 8:59,6.234,1.6,100,52.03653,679.0868,3.028,63.63
6/5/2015 9:59,6.575,2.1,100,115.0485,679.3997,3.158,70.55
6/5/2015 10:59,6.712,1.2,100,112.5075,679.5137,3.303,63.74
6/5/2015 11:59,6.972,0,98.7,188.358,679.354,3.476,64.74
6/5/2015 12:59,7.26,0,97,135.0225,678.935,3.367,62.72
6/5/2015 13:59,7.086,1.2,100,172.2179,678.6379,3.212,61.84
6/5/2015 14:59,6.89,0.2,100,96.54994,678.2054,3.435,62.5
6/5/2015 15:59,6.548,0.2,100,61.712,677.9147,3.203,63.72
6/5/2015 16:59,6.157,0,100,23.55466,677.868,2.611,62.53
6/5/2015 17:59,5.976,0.1,100,9.715213,678.1941,2.277,68.71
6/5/2015 18:59,5.888,0.1,100,0.4070469,678.5112,1.75,82.1
6/5/2015 19:59,6.008,0,100,0,678.8979,2.283,70.12
6/5/2015 20:59,6.039,0,99.9,0,679.3881,2.099,73.74
6/5/2015 21:59,5.951,0,97.5,0,679.7294,1.995,76.7
6/5/2015 22:59,5.96,0,96.4,0,679.6806,1.774,82.9
6/5/2015 23:59,5.69,0,98.2,0,679.4886,1.543,84.8
6/6/2015 0:59,5.673,0,97.7,0,678.9106,1.921,75.27
6/6/2015 1:59,5.918,0,98.8,0,678.2813,1.947,73.98
6/6/2015 2:59,5.74,0.4,100,0,677.9146,2.395,76.19
6/6/2015 3:59,5.907,0.4,100,0,677.7228,2.25,75.74
6/6/2015 4:59,6.107,0.4,100,0,677.6732,2.974,66.21
6/6/2015 5:59,6.14,0.2,100,0,677.9981,2.758,67.07
6/6/2015 6:59,6.116,0.4,100,9.144753,678.254,2.527,67.79
6/6/2015 7:59,6.238,0.1,100,44.85448,678.643,2.472,62.69
6/6/2015 8:59,6.58,0.5,100,100.5577,679.1938,2.231,64.87
6/6/2015 9:59,7.071,0.1,100,152.9,679.3163,2.686,61.5
6/6/2015 10:59,7.873,0.1,98.8,281.52,679.2665,3.024,62.17
6/6/2015 11:59,8.87,0,92.8,427.1054,679.1729,3.328,60.9
6/6/2015 12:59,9.91,0,82,578.6488,678.9221,3.83,57.91
6/6/2015 13:59,10.22,0,77.1,491.1049,678.4053,3.607,58.89
6/6/2015 14:59,9.94,0,78.74,293.28,677.8345,3.092,62.58
6/6/2015 15:59,9.33,0,84.5,189.0627,677.5604,2.793,57.84
6/6/2015 16:59,8.49,0,89.1,90.52213,677.5386,2.404,63.97
6/6/2015 17:59,7.685,0,91.8,31.20512,677.7654,1.653,72.34
6/6/2015 18:59,7.075,0,96.2,1.127483,678.0675,1.07,93.2
6/6/2015 19:59,6.216,0,98.9,0,678.5334,0.262,161.2
6/6/2015 20:59,6.047,0,98.7,0,679.1092,0.131,101.5
6/6/2015 21:59,6.012,0,98.9,0,679.6061,0.252,100.4
6/6/2015 22:59,5.452,0.6,99.5,0,679.8529,0.249,165.4
6/6/2015 23:59,5.065,0.3,100,0,679.7034,1.385,267.7
6/7/2015 0:59,5.108,0.5,100,0,679.4172,1.01,266.4
6/7/2015 1:59,5.286,0.2,100,0,678.9697,0.515,237.9
6/7/2015 2:59,5.517,0.2,100,0,678.7409,0.17,139.6
6/7/2015 3:59,5.563,0.5,100,0,678.5677,0.056,81.4
6/7/2015 4:59,5.582,0.3,100,0,678.3283,0.746,233.3
6/7/2015 5:59,5.611,0.2,100,0,678.4741,0.224,75.52
6/7/2015 6:59,5.741,0.4,100,4.702368,678.5755,0.648,87.2
6/7/2015 7:59,6.288,0,100,27.71395,678.8479,1.759,73.41
6/7/2015 8:59,6.32,0.5,100,64.11027,679.2645,1.816,62.91
6/7/2015 9:59,6.352,0.7,100,121.043,679.5826,2.601,61.15
6/7/2015 10:59,6.493,0.4,100,130.9595,679.6032,3.034,57.09
6/7/2015 11:59,6.858,0.1,100,208.1148,679.4121,3.495,60.41
6/7/2015 12:59,7.055,0.1,100,141.0407,679.2679,2.739,61.59
6/7/2015 13:59,8.49,0,95.5,304.3539,678.7275,2.479,56.99
6/7/2015 14:59,8.99,0,92.4,203.9256,678.1769,2.345,57.82
6/7/2015 15:59,9.25,0,88.6,172.1838,677.773,2.203,58.52
6/7/2015 16:59,9.34,0,88.8,114.8401,677.6081,1.43,60.04
6/7/2015 17:59,8.62,0,93.9,30.17514,677.8359,0.786,90.3
6/7/2015 18:59,7.189,0,99.3,1.72207,678.1766,0.342,258.6
6/7/2015 19:59,6.861,0,98.3,0,678.6946,0.878,297.8
6/7/2015 20:59,6.863,0.5,99.7,0,679.3,0.207,107.2
6/7/2015 21:59,6.862,0.9,100,0,679.5359,0.402,99.1
6/7/2015 22:59,6.924,0.3,100,0,679.576,0.701,92.9
6/7/2015 23:59,6.844,0.7,100,0,679.5387,0.955,71.09
6/8/2015 0:59,6.828,0.5,100,0,679.2433,1.635,71.94
6/8/2015 1:59,6.773,0.3,100,0,678.9459,1.866,69.24
6/8/2015 2:59,6.694,0.4,100,0,678.5245,1.468,77.14
