fecha,temp.IzcayrrumiETAPA,precip.IzcayrrumiETAPA,hum.IzcayrrumiETAPA,rad.IzcayrrumiETAPA,pres.IzcayrrumiETAPA,vviento.IzcayrrumiETAPA,dviento.IzcayrrumiETAPA
6/1/2015 0:59,5.814,0,90.5,0,653.7813,2.729,112.5
6/1/2015 1:59,5.917,0,88.8,0,653.5126,2.981,82.6
6/1/2015 2:59,5.966,0,88.2,0,653.1655,2.548,113.7
6/1/2015 3:59,5.915,0,89.1,0,653.1628,3.399,80.9
6/1/2015 4:59,5.671,0,90,0,653.1998,3.435,78.19
6/1/2015 5:59,5.289,0,88.4,0.008511636,653.4297,3.324,131.3
6/1/2015 6:59,5.426,0,87.4,21.19367,653.9362,3.298,189.6
6/1/2015 7:59,6.755,0,81.9,152.4257,654.4874,2.807,134.7
6/1/2015 8:59,8.03,0,75.85,350.0646,654.7447,3.131,84.8
6/1/2015 9:59,7.972,0,79.47,343.6984,654.7474,3.244,109
6/1/2015 10:59,8.05,0,80.7,390.4341,654.7436,3.31,116
6/1/2015 11:59,7.699,0,82.9,244.8058,654.565,3.09,120.2
6/1/2015 12:59,7.644,0,83.6,250.6871,654.06,2.868,126.5
6/1/2015 13:59,7.415,0,85.6,161.0888,653.2463,3.246,120.7
6/1/2015 14:59,6.574,0.4,93.6,195.3576,652.6465,3.129,133.1
6/1/2015 15:59,6.265,0.2,95.6,140.9083,652.3207,3.332,133.3
6/1/2015 16:59,6.608,0.6,93.5,99.06744,652.2153,3.505,120.7
6/1/2015 17:59,6.424,0,89.4,28.99146,652.3247,3.157,87.3
6/1/2015 18:59,6.244,0,89.4,1.36337,652.4474,3.137,103.2
6/1/2015 19:59,6.086,0,90.1,0,652.8287,3.485,101.2
6/1/2015 20:59,5.97,0,88.3,0,653.2014,3.165,95.9
6/1/2015 21:59,5.576,0,91.8,0,653.5167,3.54,112.2
6/1/2015 22:59,5.562,0,92.4,0,653.5853,3.923,106.5
6/1/2015 23:59,5.686,0,90.5,0,653.4352,3.556,104.5
6/2/2015 0:59,5.433,0,92.3,0,653.0777,3.38,101.3
6/2/2015 1:59,5.257,0,91.4,0,652.7989,4.146,96
6/2/2015 2:59,5.32,0,90.5,0,652.3602,4.487,96.5
6/2/2015 3:59,5.144,0,89.1,0,652.1442,4.162,115
6/2/2015 4:59,4.943,0,88.3,0,652.1934,3.873,86.5
6/2/2015 5:59,4.831,0,88.6,0.006620761,652.4368,3.703,113.4
6/2/2015 6:59,4.805,0,88.2,10.01461,652.7555,3.717,101.3
6/2/2015 7:59,4.975,0,87.2,95.47456,653.0568,4.116,82.5
6/2/2015 8:59,5.945,0,84.3,252.5788,653.2354,3.8,81.8
6/2/2015 9:59,7.463,0,75.48,510.6795,653.2946,4.196,116.6
6/2/2015 10:59,7.625,0,77.05,448.053,653.551,4.479,102.5
6/2/2015 11:59,8.21,0,75.44,524.8032,653.4391,4.89,96.3
6/2/2015 12:59,7.961,0,78.25,341.1742,653.0031,3.963,116.6
6/2/2015 13:59,7.202,0,84.3,203.7786,652.3873,3.38,111.7
6/2/2015 14:59,7.166,0,86.3,180.786,651.8369,3.72,124.9
6/2/2015 15:59,6.244,0,94,95.88474,651.5512,3.276,131.8
6/2/2015 16:59,6.319,0.2,92.4,124.4969,651.6417,3.796,100.9
6/2/2015 17:59,6.054,0,88.2,44.71221,651.593,3.292,85
6/2/2015 18:59,5.553,0,86.9,1.95518,651.8063,3.119,124.5
6/2/2015 19:59,5.417,0,91.6,0,652.3853,3.389,126.5
6/2/2015 20:59,5.515,0,94.9,0,652.8725,3.353,115.3
6/2/2015 21:59,5.521,0,94.5,0,653.1826,4.281,119.8
6/2/2015 22:59,5.286,0,97.1,0,653.2734,3.716,114.3
6/2/2015 23:59,5.244,0.1,95,0,653.2708,4.333,118.6
6/3/2015 0:59,4.905,0,98.7,0,652.9229,3.768,128.5
6/3/2015 1:59,5.158,0.1,98.8,0,652.565,4.173,116.2
6/3/2015 2:59,4.818,1,100,0,652.0605,3.257,126.7
6/3/2015 3:59,4.875,0.8,100,0,651.8656,2.738,136.8
6/3/2015 4:59,4.8,0,96,0,651.8818,4.236,124.5
6/3/2015 5:59,4.958,0,91.2,0.002837642,651.9571,4.237,118.3
6/3/2015 6:59,4.92,0,90.2,8.450336,652.1021,3.731,118.7
6/3/2015 7:59,5.132,0,90.9,66.09895,652.4596,3.738,112.1
6/3/2015 8:59,5.739,0,89.8,147.9371,652.9866,3.723,120.3
6/3/2015 9:59,5.588,0,93.9,181.6747,653.3486,4.142,125.8
6/3/2015 10:59,6.324,0,89.3,274.9537,653.3647,4.3,125.5
6/3/2015 11:59,6.086,0,91.3,197.4997,653.1611,4.451,134
6/3/2015 12:59,5.56,0.2,97.4,223.4302,652.7344,4.094,119.7
6/3/2015 13:59,6.294,0,94.3,127.4977,652.161,4.011,128.8
6/3/2015 14:59,6.399,0,95.2,133.6281,651.7028,3.441,134.1
6/3/2015 15:59,6.644,0,94.3,69.47984,651.4306,4.024,121
6/3/2015 16:59,6.773,0,94.6,82.49859,651.2946,3.576,119.6
6/3/2015 17:59,6.596,0.1,93,22.11437,651.5795,4.017,117.2
6/3/2015 18:59,6.376,0,92.7,0.7355493,651.821,3.56,122.2
6/3/2015 19:59,6.111,0,94.5,0,652.3359,3.109,123.5
6/3/2015 20:59,5.804,0,93.1,0,652.9788,3.98,119
6/3/2015 21:59,5.072,0,98.7,0,652.9897,4.04,122.8
6/3/2015 22:59,5.108,0.2,98.2,0,653.1769,4.441,126.1
6/3/2015 23:59,5.145,0.3,98,0,653.1167,4.251,113.2
6/4/2015 0:59,4.785,0.5,100,0,653.0137,3.777,129
6/4/2015 1:59,4.813,0,98.7,0,652.8217,4.6,121.4
6/4/2015 2:59,5.151,0,95.1,0,652.3092,4.555,119.9
6/4/2015 3:59,4.901,0,97.4,0,651.9453,4.756,114.8
6/4/2015 4:59,4.522,0,99.8,0,651.985,4.36,117.9
6/4/2015 5:59,4.536,0.3,99.8,0,652.338,4.428,131.2
6/4/2015 6:59,4.691,0.6,99.7,3.323888,652.2863,4.31,122.5
6/4/2015 7:59,4.828,0.3,99.7,34.99731,652.6429,4.686,128.8
6/4/2015 8:59,5.252,0.2,99,76.74849,653.1889,5.013,115.2
6/4/2015 9:59,5.57,0.1,98.6,150.708,653.5226,5.195,115.8
6/4/2015 10:59,5.858,0.2,99,199.4936,653.422,4.951,128
6/4/2015 11:59,6.819,0.1,94.1,373.0594,653.4326,5.276,121.5
6/4/2015 12:59,7.56,0,89.4,482.7004,653.2758,5.199,116.1
6/4/2015 13:59,7.132,0,91.9,228.2631,652.6578,4.72,119
6/4/2015 14:59,6.587,0.4,96.3,150.8972,652.0889,4.186,132.5
6/4/2015 15:59,5.953,0.2,99.8,106.1044,651.9517,3.854,120.3
6/4/2015 16:59,5.897,0,99.3,42.31323,652.0769,3.491,128
6/4/2015 17:59,6.005,0,95.4,18.68923,652.243,3.427,117.4
6/4/2015 18:59,6.015,0,93.6,0.6392099,652.6722,3.278,114.8
6/4/2015 19:59,6.011,0,94.3,0,653.1008,3.456,109.6
6/4/2015 20:59,5.833,0,96.4,0,653.5809,4.227,104.7
6/4/2015 21:59,5.77,0,93,0,653.9592,4.88,117.8
6/4/2015 22:59,5.562,0,93.3,0,654.1641,4.993,119.7
6/4/2015 23:59,5.535,0.3,94.7,0,653.8661,4.075,110
6/5/2015 0:59,4.983,0.2,99.1,0,653.6858,4.13,132.6
6/5/2015 1:59,4.911,1.1,99,0,653.1314,3.916,132.6
6/5/2015 2:59,4.801,0.1,95.9,0,652.965,4.762,112.7
6/5/2015 3:59,4.631,0,95.6,0,652.4783,4.253,116.9
6/5/2015 4:59,4.809,0.1,92,0,652.4376,4.084,98.1
6/5/2015 5:59,4.643,0.5,96.6,0,652.6015,4.057,115.5
6/5/2015 6:59,4.691,0.1,95.4,5.026506,652.8492,4.508,119.9
6/5/2015 7:59,4.482,0,98.4,25.72277,653.061,4.384,124.5
6/5/2015 8:59,4.376,1.1,99.9,51.54108,653.3989,3.723,143.8
6/5/2015 9:59,4.712,1.2,99.2,137.4353,653.6384,4.008,139.6
6/5/2015 10:59,4.971,0.7,98.1,183.9772,653.7505,4.798,131.4
6/5/2015 11:59,5.204,1,98.6,168.5826,653.5821,4.25,133.7
6/5/2015 12:59,5.17,0.3,98.9,87.58788,653.2283,4.516,124.9
6/5/2015 13:59,5.555,0.1,97.6,126.3131,652.8841,4.456,123.3
6/5/2015 14:59,5.428,0.6,97.4,147.0779,652.5698,4.183,128
6/5/2015 15:59,4.891,0.6,98.4,71.32395,652.1382,3.885,115.4
6/5/2015 16:59,4.525,0.1,98.4,29.81629,652.0198,4.662,130.8
6/5/2015 17:59,4.55,0,96.7,23.79647,652.1674,4.383,116
6/5/2015 18:59,4.502,0,98.3,0.3849451,652.4254,4.428,122.1
6/5/2015 19:59,4.712,0,96.6,0,652.8766,3.952,116.8
6/5/2015 20:59,5.099,0,91.8,0,653.3873,3.873,105.1
6/5/2015 21:59,5.044,0,91.1,0,653.6368,3.618,100.8
6/5/2015 22:59,5.069,0,92,0,653.5495,3.365,111.5
6/5/2015 23:59,4.985,0,92.8,0,653.3599,3.99,106.7
6/6/2015 0:59,4.717,0,93.6,0,652.9681,4.163,118.4
6/6/2015 1:59,4.556,0,95.9,0,652.3752,3.64,124.8
6/6/2015 2:59,4.541,0,99.2,0,652.1569,3.539,115
6/6/2015 3:59,4.857,0.2,98.5,0,652.0261,3.848,123.4
6/6/2015 4:59,4.806,0.5,99.3,0,651.9463,3.615,115.5
6/6/2015 5:59,4.441,0.3,100,0,652.2662,3.711,119.9
6/6/2015 6:59,4.281,0,100,9.503445,652.4657,3.781,118.8
6/6/2015 7:59,4.484,0,99.9,33.97574,652.8901,3.486,111.8
6/6/2015 8:59,4.811,0,99.6,84.83447,653.3862,3.478,151.1
6/6/2015 9:59,5.287,0.1,99.2,148.0215,653.4981,3.803,123.3
6/6/2015 10:59,5.752,0.8,98.7,211.9915,653.4,4.173,139.1
6/6/2015 11:59,5.614,0.1,95.5,235.3892,653.4113,4.456,128
6/6/2015 12:59,6.264,0,89.7,330.4049,653.1457,4.1,126.2
6/6/2015 13:59,6.489,0,85.8,351.5935,652.6944,4.253,127.1
6/6/2015 14:59,6.474,0,87.2,161.3681,652.1645,3.534,136.8
6/6/2015 15:59,6.534,0,88.7,161.9516,651.9055,2.987,138.3
6/6/2015 16:59,6.103,0,91,103.477,651.8182,3.091,135.4
6/6/2015 17:59,5.624,0,90.3,22.53246,651.9977,3.088,113
6/6/2015 18:59,5.311,0,88.5,1.196952,652.2687,2.477,120.2
6/6/2015 19:59,4.807,0,89.4,0,652.6776,2.36,109.1
