fecha,temp.machangarchulcoETAPA,precip.machangarchulcoETAPA,hum.machangarchulcoETAPA,rad.machangarchulcoETAPA,pres.machangarchulcoETAPA,vviento.machangarchulcoETAPA,dviento.machangarchulcoETAPA
6/1/2015 0:59,6.756,0,100,0,717.7678,0.449,124.2
6/1/2015 1:59,8.53,0,93.9,0,717.3307,0.749,174.1
6/1/2015 2:59,7.674,0,100,0,716.9899,1.131,187.9
6/1/2015 3:59,8.05,0,100,0,716.9687,2.133,193.5
6/1/2015 4:59,6.72,0,100,0,717.0312,2.014,194.7
6/1/2015 5:59,6.924,0,100,0,717.4344,2.24,191.6
6/1/2015 6:59,8.28,0,100,11.76383,717.3569,2.089,210.5
6/1/2015 7:59,8.41,0,95.6,115.3194,718.4066,1.752,155.7
6/1/2015 8:59,12.12,0,93.3,257.2396,718.5696,1.947,199.3
6/1/2015 9:59,13.19,0,64.24,402.1383,718.6585,3.018,204.9
6/1/2015 10:59,14.49,0,67.09,363.3901,718.6885,2.442,192.8
6/1/2015 11:59,13.28,0,71.43,300.8083,718.2863,1.918,185.3
6/1/2015 12:59,14.13,0,79.79,496.7922,717.6957,1.317,183.3
6/1/2015 13:59,13.92,0,70.88,244.5325,717.0011,0.799,175.4
6/1/2015 14:59,12.44,0,82.5,353.7731,716.4227,0.309,167
6/1/2015 15:59,12.61,0,72.49,153.8441,715.9343,0.375,188
6/1/2015 16:59,12.34,0,95.1,90.40598,715.9231,0.304,172.2
6/1/2015 17:59,11.72,0,96.5,31.70291,715.8127,0.596,101.5
6/1/2015 18:59,9.99,0,99.2,1.358326,716.2408,0.439,184.1
6/1/2015 19:59,8.47,0,100,0,717.0369,0.614,187.4
6/1/2015 20:59,5.753,0.1,100,0,717.5402,0.504,144.3
6/1/2015 21:59,8.03,0.1,96.1,0,717.7728,0.443,134.4
6/1/2015 22:59,8.48,0.1,99.5,0,717.4738,0.587,112.2
6/1/2015 23:59,8.87,0.4,100,0,717.4623,0.296,124.2
6/2/2015 0:59,7.087,0.9,99.9,0,717.5204,0.245,136.4
6/2/2015 1:59,5.841,0.3,100,0,716.7878,0.903,185.5
6/2/2015 2:59,8.22,0,99.2,0,716.7265,1.071,178.8
6/2/2015 3:59,8.93,0.6,100,0,716.2673,1.659,178.4
6/2/2015 4:59,8.54,0.1,100,0,716.5811,2.384,213.2
6/2/2015 5:59,7.891,0.1,98.9,0,716.7138,2.426,195
6/2/2015 6:59,8.13,0.1,97.8,12.09848,716.9294,2.461,202.3
6/2/2015 7:59,8.62,0,100,132.6159,717.2557,2.608,217.2
6/2/2015 8:59,11.87,0,76.09,192.5005,717.5776,3.486,210.8
6/2/2015 9:59,13.85,0,61.82,696.3972,717.699,3.275,206.6
6/2/2015 10:59,14.74,0,63.25,524.93515,717.8353,2.461,198.1
6/2/2015 11:59,14.69,0,64.61,341.0843,717.8973,2.238,206.8
6/2/2015 12:59,16.52,0,61.38,337.8228,717.3577,1.296,192
6/2/2015 13:59,15.07,0,69.55,405.7298,716.1812,0.448,223.5
6/2/2015 14:59,13.88,0,74.76,183.0517,715.3759,0.351,201.7
6/2/2015 15:59,12.76,0,93.1,104.5586,715.1165,0.545,181.4
6/2/2015 16:59,12.58,0,87,156.308,715.5328,0.378,189.6
6/2/2015 17:59,11.88,0,92.4,68.73705,715.363,0.58,180.3
6/2/2015 18:59,8.45,0,85.1,1.731798,715.5634,1.194,190.3
6/2/2015 19:59,9.99,0.1,89,0,716.5604,0.494,219.6
6/2/2015 20:59,9.77,0,100,0,716.9789,0.333,211.9
6/2/2015 21:59,9.05,0,100,0,717.4742,0.379,201.2
6/2/2015 22:59,8.46,0.1,99.9,0,717.4791,1.39,210.4
6/2/2015 23:59,8.66,0,99.6,0,717.449,1.011,210.3
6/3/2015 0:59,8.48,0,100,0,716.874,0.644,204.6
6/3/2015 1:59,8.94,0,100,0,716.3446,1.548,210.2
6/3/2015 2:59,8.54,0,100,0,715.9797,1.245,186.3
6/3/2015 3:59,9.32,0,100,0,716.0547,1.869,216.8
6/3/2015 4:59,8.04,0,100,0,715.8987,2.062,177.2
6/3/2015 5:59,7.701,0,100,0,715.998,2.7,185.8
6/3/2015 6:59,8.32,0,100,18.99516,716.0449,2.018,178.8
6/3/2015 7:59,9.1,0,100,45.42524,716.6808,2.887,186.7
6/3/2015 8:59,10.61,0,91,117.8829,717.0604,2.037,149.1
6/3/2015 9:59,11.68,0,99.9,339.4203,717.8536,1.892,154.4
6/3/2015 10:59,11.48,0,96.5,241.467,717.5024,1.678,148.7
6/3/2015 11:59,11.67,0,99.9,446.7063,717.3654,1.366,156.8
6/3/2015 12:59,13,0,94.3,393.853,716.9448,0.905,172.4
6/3/2015 13:59,11.84,0,86.9,334.1875,716.1049,0.445,155.9
6/3/2015 14:59,12.89,0,87.5,186.5822,715.6208,1.053,188.4
6/3/2015 15:59,12.33,0,87,147.234,714.8328,0.64,181.8
6/3/2015 16:59,11.95,0,87.2,46.62444,714.8189,0.64,130.4
6/3/2015 17:59,12.1,0,97.7,32.58792,715.309,0.882,153.8
6/3/2015 18:59,10.03,0,96.9,1.058105,715.5107,0.709,128.8
6/3/2015 19:59,9.9,0,85.4,0,716.6271,0.828,107.3
6/3/2015 20:59,9.87,0,98.5,0,717.0576,0.323,145.1
6/3/2015 21:59,9.22,0,99.5,0,717.3161,0.419,184.6
6/3/2015 22:59,9.83,0,100,0,717.337,0.614,197.1
6/3/2015 23:59,9.49,0,98.5,0,717.0104,0.398,199.3
6/4/2015 0:59,9.07,0,100,0,717.2336,0.53,198.5
6/4/2015 1:59,8.25,0,100,0,716.969,0.759,148.6
6/4/2015 2:59,8.31,0,100,0,716.4467,1.37,185.8
6/4/2015 3:59,8.54,0,99.8,0,715.9499,1.303,208.4
6/4/2015 4:59,9.82,0,99.7,0,716.3337,1.412,216.9
6/4/2015 5:59,8.4,0,99.8,0,716.6495,1.992,214.1
6/4/2015 6:59,8.42,0,99.8,5.637078,716.4586,2.477,196.4
6/4/2015 7:59,8.84,0,100,43.84332,717.052,2,154.5
6/4/2015 8:59,8.36,0,100,99.60891,717.5111,2.478,198.6
6/4/2015 9:59,9.77,0.2,100,109.0179,717.8751,2.144,194.7
6/4/2015 10:59,10.39,0.1,90.4,157.7027,718.152,1.072,189.9
6/4/2015 11:59,10.97,0.2,100,133.7088,717.6307,1.23,153.8
6/4/2015 12:59,12.08,0.1,86.4,230.0146,717.3967,0.724,125.9
6/4/2015 13:59,11.61,0.3,81.7,292.8102,716.7244,0.557,151.5
6/4/2015 14:59,11.06,0,87.4,138.8732,716.3828,0.61,161.6
6/4/2015 15:59,10.78,0.1,89.1,128.2682,715.6967,0.326,161.1
6/4/2015 16:59,10.97,0,91,84.57175,716.0576,0.613,130.7
6/4/2015 17:59,10.38,0,98.1,63.85219,716.1721,0.558,128.3
6/4/2015 18:59,10.17,0,100,2.795089,716.5538,0.192,182.3
6/4/2015 19:59,10.32,0,95.8,0,716.969,0.292,132.9
6/4/2015 20:59,9.51,0,100,0,717.8407,0.372,114.4
6/4/2015 21:59,9.02,0,100,0,718.0583,1.187,52.91
6/4/2015 22:59,9.74,0,100,0,718.2881,1.134,103
6/4/2015 23:59,9.47,0,99.3,0,717.994,0.987,74.45
6/5/2015 0:59,7.92,0,100,0,718.1909,1.382,63.99
6/5/2015 1:59,8.6,0,100,0,717.3892,1.101,58.8
6/5/2015 2:59,8.15,0,99.5,0,717.165,0.652,162
6/5/2015 3:59,7.323,0,99.3,0,716.8203,1.561,171.9
6/5/2015 4:59,8.47,0,100,0,716.7568,1.928,200.5
6/5/2015 5:59,8.67,0,100,0,716.5536,1.276,179.9
6/5/2015 6:59,7.903,0,100,6.375303,716.7908,2.423,202.2
6/5/2015 7:59,7.863,0,100,21.53459,717.537,1.838,190.4
6/5/2015 8:59,8.77,0,100,45.04807,717.4868,2.446,204
6/5/2015 9:59,9.02,0,100,139.0717,718.1992,2.42,188
6/5/2015 10:59,10.31,0,100,86.07423,718.4853,1.503,119
6/5/2015 11:59,10.09,0,96.7,101.2547,718.1149,1.298,230.9
6/5/2015 12:59,11.57,0,88.4,152.0106,717.606,0.577,175
6/5/2015 13:59,8.86,0,97.3,124.7112,716.8958,0.643,143.2
6/5/2015 14:59,10.94,0,99.7,131.5369,716.5699,1.139,151
6/5/2015 15:59,10.06,0,96.9,74.44245,716.0557,1.347,111.3
6/5/2015 16:59,10.95,0.2,97.1,28.90493,716.2531,0.693,108.1
6/5/2015 17:59,9.58,0.2,95.2,27.07073,716.5181,0.742,78.67
6/5/2015 18:59,8.94,0.2,99.1,0.7167246,716.854,0.936,78.63
6/5/2015 19:59,8.52,0.1,100,0,717.2726,0.351,171.4
6/5/2015 20:59,8.75,0.1,100,0,717.6907,1.072,86.6
6/5/2015 21:59,9.16,0.2,100,0,718.0694,0.567,176.1
6/5/2015 22:59,7.142,0,100,0,718.1157,0.602,154.2
6/5/2015 23:59,7.344,0,99.2,0,718.0567,0.524,161.4
6/6/2015 0:59,7.142,0,96.7,0,716.9687,0.429,176.5
6/6/2015 1:59,8.16,0,100,0,716.7846,0.75,193.4
6/6/2015 2:59,6.78,0,100,0,716.3279,1.447,211.5
6/6/2015 3:59,8.69,0,100,0,715.9843,2.355,190.1
6/6/2015 4:59,6.241,0,100,0,716.257,2.526,199.1
6/6/2015 5:59,8.22,0,100,0,716.4551,2.23,190.7
6/6/2015 6:59,6.445,0,99.8,11.42366,716.5847,2.032,195.5
6/6/2015 7:59,8.85,0,99.1,64.01273,717.3893,2.069,185.6
6/6/2015 8:59,7.744,0,100,86.60993,717.5852,2.143,203
6/6/2015 9:59,10.86,0,97.5,196.0979,717.8575,1.596,200.1
6/6/2015 10:59,11.6,0,99.5,246.0019,717.92,2.261,203.2
6/6/2015 11:59,9.99,0,83.7,497.9305,717.7804,1.96,207.6
6/6/2015 12:59,13.07,0,84.5,550.04635,717.2504,0.813,147.1
6/6/2015 13:59,13.21,0,65.76,194.4565,716.6578,1.314,163.6
6/6/2015 14:59,12.95,0,67.89,749.7023,716.1163,1.22,88.3
6/6/2015 15:59,13.43,0,76.85,149.4389,715.6127,0.985,108.5
6/6/2015 16:59,12.52,0,80.3,113.7786,715.4635639,0.648,118.5
6/6/2015 17:59,10.86,0,81.1,47.94647,715.8019,0.911,92.2
6/6/2015 18:59,9.23,0.7,97,1.385292,716.0231,0.76,63.17
6/6/2015 19:59,7.478,0.8,100,0,716.8912,0.734,108
6/6/2015 20:59,8.27,0.2,86.3,0,717.2325,0.896,120.1
6/6/2015 21:59,9.04,0,100,0,718.0148,0.52,161.2
6/6/2015 22:59,6.009,0,98.3,0,717.989,0.441,170.6
6/6/2015 23:59,7.88,0,100,0,717.929,0.514,149.2
6/7/2015 0:59,8.27,0,100,0,717.6127,0.191,225.3
6/7/2015 1:59,6.954,0,99.7,0,717.4164,0.323,173.4
6/7/2015 2:59,7.955,0,100,0,717.119,1.306,197
6/7/2015 3:59,8.07,0,100,0,716.7841,1.833,197.6
6/7/2015 4:59,7.857,0,100,0,716.6464,1.891,200.2
6/7/2015 5:59,8.1,0,100,0,716.8718,1.292,203.3
6/7/2015 6:59,8.49,0,100,4.826741,717.0848,2.065,199.2
6/7/2015 7:59,9.06,0,100,18.87974,717.3321,2.764,222.2
6/7/2015 8:59,8.41,0,100,78.36472,717.8229,2.745,205.1
6/7/2015 9:59,8.24,0,100,112.7117,718.364,2.247,186.1
6/7/2015 10:59,9.83,0,97.5,107.2104,718.1649,1.957,225
6/7/2015 11:59,10.81,0,85.6,315.3397,717.987,1.288,177.4
6/7/2015 12:59,12.33,0,94.4,293.2014,717.4836,1.05,205.2
6/7/2015 13:59,12.07,0,86.3,402.7524,716.9222,1.234,55.43
6/7/2015 14:59,13.66,0,80.6,470.4478,716.1413,1.321,33.5
6/7/2015 15:59,12.17,0,80.1,179.3241,715.459,1.448,70.03
6/7/2015 16:59,12.92,0,81.3,114.5378,715.3549,1.617,37.28
6/7/2015 17:59,13.46,0,81.2,47.58989,715.6593,1.369,87
6/7/2015 18:59,10.65,0,99.8,1.568635,716.0444,1.652,56.55
6/7/2015 19:59,8.67,0,94.4,0,716.7698,1.698,92.9
6/7/2015 20:59,9.58,0,98.5,0,717.4993,1.391,82.1
6/7/2015 21:59,9.77,0,100,0,717.8729,1.545,73.98
6/7/2015 22:59,9.17,0,100,0,718.065,1.32,109.4
6/7/2015 23:59,9.49,0,100,0,717.9386,0.924,83.5
6/8/2015 0:59,8.59,0,100,0,717.4101,0.982,63.46
