fecha,temp.Tixan_ETAPA,precip.Tixan_ETAPA,hum.Tixan_ETAPA,rad.Tixan_ETAPA,pres.Tixan_ETAPA,vviento.Tixan_ETAPA,dviento.Tixan_ETAPA
6/1/2015 0:59,10.03,0,85.7,0,739.9262,0.721,226.3
6/1/2015 1:59,10.49,0,85.9,0,739.6694,0.402,252
6/1/2015 2:59,10.33,0,89.1,0,739.3785,0.201,186.4
6/1/2015 3:59,9.87,0,91.6,0,739.2767,0.1,197.6
6/1/2015 4:59,8.9,0,95.4,0,739.2145,0.54,253.4
6/1/2015 5:59,8.1,0,97.5,0,739.5026,0.506,266.3
6/1/2015 6:59,9.21,0,94.3,48.55183,739.9401,0.293,225.2
6/1/2015 7:59,12.33,0,82.1,166.0199,740.6389,0.626,111.8
6/1/2015 8:59,13.54,0,78.37,282.2446,741.2132,0.81,78.02
6/1/2015 9:59,16.63,0,66.02,459.4378,741.2607,1.007,91.7
6/1/2015 10:59,17.92,0,56.22,537.2265,741.1359,2.539,82
6/1/2015 11:59,17.12,0,58.63,347.2624,740.7758,2.279,69.59
6/1/2015 12:59,17.18,0,58.15,404.7092,740.2286,1.978,78.58
6/1/2015 13:59,17.28,0,60.81,382.2368,739.3314,1.922,96.1
6/1/2015 14:59,16.65,0,66.08,247.8658,738.7056,1.566,108.1
6/1/2015 15:59,15.52,0.5,74.06,126.5234,738.321,1.689,86.2
6/1/2015 16:59,14.88,0,79.27,154.4973,738.2683,1.423,128
6/1/2015 17:59,14.35,0,80.8,33.69477,738.2476,0.818,151
6/1/2015 18:59,13,0,88.3,1.223069,738.5292,0.491,248
6/1/2015 19:59,11.4,0,90.7,0,739.0154,0.486,288.2
6/1/2015 20:59,10.47,0,91.3,0,739.5504,1.01,299.8
6/1/2015 21:59,11.06,0,87.8,0,739.8755,1.129,280.9
6/1/2015 22:59,11.41,0,88,0,739.8674,0.567,276.5
6/1/2015 23:59,11.65,0,88.7,0,739.8914,0.53,271.8
6/2/2015 0:59,11.51,0,87.4,0,739.6303,0.5,245.4
6/2/2015 1:59,11.62,0,85.9,0,739.2567,0.744,207.1
6/2/2015 2:59,11.84,0.1,84.8,0,739.0082,0.809,163.2
6/2/2015 3:59,11.18,0,89.3,0,738.6796,0.8,266.2
6/2/2015 4:59,11.24,0,86.1,0,738.7794,0.389,269.8
6/2/2015 5:59,10.67,0,85,0,738.9422,0.623,271.8
6/2/2015 6:59,11.09,0,84,15.91781,739.3908,0.449,248.7
6/2/2015 7:59,13.65,0,73.09,128.7113,739.6752,0.432,163.7
6/2/2015 8:59,15.91,0,62.45,394.7145,740.0223,1.302,89.8
6/2/2015 9:59,17.46,0,55.13,667.3562,740.2153,3.148,45.14
6/2/2015 10:59,17.95,0,52.08,719.598,740.2953,4.135,48.7
6/2/2015 11:59,17.75,0,51.68,580.4738,740.1579,4.261,44.69
6/2/2015 12:59,18.05,0,51.4,587.6449,739.462,3.332,56.57
6/2/2015 13:59,17.64,0,53.99,418.2414,738.5864,2.694,78.08
6/2/2015 14:59,16.47,0,61.23,257.0657,737.8917,2.545,88.1
6/2/2015 15:59,15.33,0.1,71.74,188.5647,737.6912,2.628,43.94
6/2/2015 16:59,15.67,0,72.66,249.2605,737.8292,2.158,85.8
6/2/2015 17:59,14.74,0,67.45,39.65533,737.7221,1.784,57.39
6/2/2015 18:59,13.33,0,71.23,1.684395,737.8979,1.007,154.7
6/2/2015 19:59,13.62,0,71.55,0,738.7861,1.19,70.59
6/2/2015 20:59,12.96,0,80.8,0,739.4247,0.894,222.9
6/2/2015 21:59,11.81,0,91.6,0,739.8386,1.067,151.4
6/2/2015 22:59,11.28,0.3,95.1,0,740.0861,1.328,166.3
6/2/2015 23:59,11.29,0,92.9,0,739.8613,1.002,205.4
6/3/2015 0:59,11.46,0,91.6,0,739.5507,0.723,259.6
