fecha,temp.UPS_UPS,precip.UPS_UPS,hum.UPS_UPS,rad.UPS_UPS,pres.UPS_UPS,vviento.UPS_UPS,dviento.UPS_UPS
6/1/2015 0:59,11,0,82,0,755.1,0.9,78
6/1/2015 1:59,11.1,0,81,0,754.8,0.3,133
6/1/2015 2:59,11.3,0,81,0,754.5,0.7,94
6/1/2015 3:59,11.1,0,83,0,754.4,0.8,73
6/1/2015 4:59,10.4,0,88,0,754.4,0.9,99
6/1/2015 5:59,9.8,0,92,0,754.7,0.1,346
6/1/2015 6:59,10,0,88,32,755.2,0.5,104
6/1/2015 7:59,12.3,0,75,188,755.9,0.6,93
6/1/2015 8:59,15.2,0,65,445,756.3,0.9,49
6/1/2015 9:59,17.5,0,56,725,756.2,1.8,24
6/1/2015 10:59,18.8,0,49,894,756,3.9,33
6/1/2015 11:59,18.6,0,50,549,755.6,4.2,41
6/1/2015 12:59,18.9,0,48,397,755,3.6,54
6/1/2015 13:59,17.9,0,55,290,754.2,2.6,87
6/1/2015 14:59,16.2,0.4,68,282,753.6,2.4,111
6/1/2015 15:59,17.2,0.1,63,172,753,1.5,57
6/1/2015 16:59,16.3,0.2,69,236,753,2.9,19
6/1/2015 17:59,16.7,0,64,66,753,3,9
6/1/2015 18:59,15.8,0,65,1,753.3,3.1,29
6/1/2015 19:59,14.7,0,71,0,753.9,2,9
6/1/2015 20:59,13.5,0,75,0,754.5,0.6,33
6/1/2015 21:59,12.5,0,80,0,754.9,0.4,96
6/1/2015 22:59,12.7,0,79,0,754.9,0.3,114
6/1/2015 23:59,12.7,0,79,0,754.9,1,34
6/2/2015 0:59,12.4,0,81,0,754.7,0.8,71
6/2/2015 1:59,12.2,0,81,0,754.3,0.7,120
6/2/2015 2:59,12.2,0,84,0,754,0.4,38
6/2/2015 3:59,12.3,0,83,0,753.7,0.3,17
6/2/2015 4:59,12.1,0,84,0,753.8,0.1,58
6/2/2015 5:59,11.8,0,86,0,754,0.7,48
6/2/2015 6:59,12.4,0,79,21,754.4,1.7,7
6/2/2015 7:59,13.6,0,74,144,754.7,0.6,149
6/2/2015 8:59,16.7,0,55,474,755,2.5,34
6/2/2015 9:59,18,0,49,724,755.1,3.7,41
6/2/2015 10:59,19,0,44,730,755,4.6,53
6/2/2015 11:59,19.7,0,42,1089,754.9,6,57
6/2/2015 12:59,19.4,0,42,499,754.2,5.3,67
6/2/2015 13:59,19.3,0,44,638,753.3,5.7,70
6/2/2015 14:59,18.6,0,49,556,752.6,5.5,44
6/2/2015 15:59,17.6,0,56,291,752.3,4.8,32
6/2/2015 16:59,17.8,0,57,408,752.5,4.4,28
6/2/2015 17:59,17.7,0,51,127,752.4,3.7,30
6/2/2015 18:59,16.5,0,54,2,752.7,2.5,25
6/2/2015 19:59,15.9,0,58,0,753.6,2.6,30
6/2/2015 20:59,15.5,0,62,0,754.2,2.4,40
6/2/2015 21:59,14.3,0,74,0,754.7,2.5,359
6/2/2015 22:59,13.6,0,79,0,755,2.3,356
6/2/2015 23:59,13.1,0,82,0,754.9,1.1,355
6/3/2015 0:59,13.2,0,80,0,754.6,0.8,35
6/3/2015 1:59,12.9,0,84,0,754.1,1,103
6/3/2015 2:59,12.7,0,85,0,753.7,1.3,46
6/3/2015 3:59,12.5,0,86,0,753.5,0.9,46
6/3/2015 4:59,12.1,0,90,0,753.4,0.9,121
6/3/2015 5:59,11.6,0,93,0,753.5,1,103
6/3/2015 6:59,11.7,0,93,10,753.7,0.7,30
6/3/2015 7:59,12.5,0,90,100,754.1,0.5,91
6/3/2015 8:59,13.8,0,82,110,754.8,1.4,80
6/3/2015 9:59,15,0,72,455,755.2,2.1,16
6/3/2015 10:59,16.3,0,63,442,755.1,3.3,36
6/3/2015 11:59,16.2,0.8,62,232,754.9,3.6,89
6/3/2015 12:59,16.5,0.2,66,768,754.3,2.2,41
6/3/2015 13:59,18.2,0,54,655,753.3,4.6,42
6/3/2015 14:59,18.1,0,56,483,752.6,3.5,44
6/3/2015 15:59,18.1,0,56,451,752.1,4.2,26
6/3/2015 16:59,17.6,0,58,156,752,3.3,37
6/3/2015 17:59,16.1,0,66,41,752.4,3.7,35
6/3/2015 18:59,15.2,0,69,1,752.8,3,18
6/3/2015 19:59,15.1,0,69,0,753.6,2.7,36
6/3/2015 20:59,14.9,0,69,0,754.5,2.8,41
6/3/2015 21:59,14.5,0,69,0,754.7,2.5,50
6/3/2015 22:59,14.1,0,72,0,754.9,1.5,16
6/3/2015 23:59,13.9,0,75,0,755.1,1.6,46
6/4/2015 0:59,12.6,0,86,0,755,0.8,355
6/4/2015 1:59,12.9,0,83,0,754.4,0.6,194
6/4/2015 2:59,12.5,0,86,0,753.9,0.8,117
6/4/2015 3:59,12.6,0,85,0,753.6,0.6,31
6/4/2015 4:59,12.6,0,86,0,753.8,0.9,59
6/4/2015 5:59,12.3,0,90,0,754.3,0.9,40
6/4/2015 6:59,12.4,0.1,90,8,754.3,0.5,138
6/4/2015 7:59,12.6,0.1,87,45,754.7,0.9,16
6/4/2015 8:59,13,0.2,87,132,755.2,1.3,18
6/4/2015 9:59,13.2,0.4,88,199,755.5,2.1,16
6/4/2015 10:59,14.6,0,83,298,755.5,1.6,55
6/4/2015 11:59,15.5,0,77,408,755.3,2.7,52
6/4/2015 12:59,16.9,0,66,624,754.9,3.3,52
6/4/2015 13:59,18,0,59,473,754,3.1,62
6/4/2015 14:59,16.7,0,67,342,753.5,3.2,76
6/4/2015 15:59,16.6,0,68,239,753.1,3,30
6/4/2015 16:59,17.1,0,64,344,753.1,3.2,20
6/4/2015 17:59,16.7,0,63,112,753.2,3.6,13
6/4/2015 18:59,15.6,0,67,2,753.8,3,11
6/4/2015 19:59,15.1,0,68,0,754.4,3.2,45
6/4/2015 20:59,14.5,0,71,0,755.1,1.9,16
6/4/2015 21:59,14,0,75,0,755.5,1.1,32
6/4/2015 22:59,13.8,0,76,0,755.8,1.2,44
6/4/2015 23:59,13.4,0,81,0,755.7,1.3,81
6/5/2015 0:59,12.3,0.1,91,0,755.7,1.8,6
6/5/2015 1:59,12.2,0,92,0,755.1,0.8,151
6/5/2015 2:59,12.2,0.1,92,0,754.7,0.5,292
6/5/2015 3:59,11.8,0,93,0,754.2,0.3,3
6/5/2015 4:59,11.5,0,95,0,754.1,0.9,71
6/5/2015 5:59,11.4,0.1,97,0,754.4,0.6,41
6/5/2015 6:59,11.7,0,94,6,754.8,0.6,120
6/5/2015 7:59,12.3,0.1,88,40,755.2,0.3,81
6/5/2015 8:59,13,0.1,80,111,755.6,1.6,7
6/5/2015 9:59,12.9,1,85,240,756,1.4,20
6/5/2015 10:59,13,1,89,250,756,2.2,6
6/5/2015 11:59,14.9,0,76,471,755.6,2.1,34
6/5/2015 12:59,16.4,0,64,535,754.9,4.5,58
6/5/2015 13:59,15.5,0.1,68,274,754.5,4.4,42
6/5/2015 14:59,14.9,0,74,281,754.2,2.6,38
6/5/2015 15:59,15.3,0,66,175,753.8,3.6,45
6/5/2015 16:59,14.9,0,68,169,753.6,3.5,360
6/5/2015 17:59,14.7,0,66,35,753.8,2.8,356
6/5/2015 18:59,14.4,0,66,1,754.1,2.3,1
6/5/2015 19:59,14.1,0,67,0,754.6,2,8
6/5/2015 20:59,13.9,0,67,0,755.1,2.6,16
6/5/2015 21:59,13.9,0,66,0,755.5,2.8,18
6/5/2015 22:59,13.5,0,68,0,755.6,1.8,35
6/5/2015 23:59,12.8,0,73,0,755.4,1.1,75
6/6/2015 0:59,12.1,0,75,0,754.9,0.9,30
6/6/2015 1:59,12,0,78,0,754.2,0.6,102
6/6/2015 2:59,11.7,0,81,0,754,1,30
6/6/2015 3:59,11.6,0,85,0,753.8,0.9,137
6/6/2015 4:59,11.2,0,92,0,753.8,1,129
6/6/2015 5:59,11.3,0,91,0,754.3,0.6,123
6/6/2015 6:59,11.3,0,93,16,754.5,0.5,88
6/6/2015 7:59,11.6,0.1,92,80,754.9,0.5,94
6/6/2015 8:59,13.5,0,83,311,755.3,0.5,55
6/6/2015 9:59,14.2,0,77,280,755.4,2.2,48
6/6/2015 10:59,14.1,0.5,82,329,755.5,2.1,78
6/6/2015 11:59,16.9,0,65,728,755.1,2.8,51
6/6/2015 12:59,18.6,0,50,738,754.6,4.6,60
6/6/2015 13:59,18.5,0,48,458,753.9,4.1,66
6/6/2015 14:59,18.4,0,48,613,753.2,4.4,72
