fecha,temp.ucubambaETAPA,precip.ucubambaETAPA,hum.ucubambaETAPA,rad.ucubambaETAPA,pres.ucubambaETAPA,vviento.ucubambaETAPA,dviento.ucubambaETAPA
6/1/2015 0:59,8.86,0,97.7,0,766.1205,0.76,188.5
6/1/2015 1:59,9.2,0,97.4,0,765.8651,0.427,190.8
6/1/2015 2:59,9.99,0,96.4,0,765.5555,0.15,186.7
6/1/2015 3:59,9.93,0,97.6,0,765.447,0.118,178.2
6/1/2015 4:59,8.88,0,99.8,0,765.4742,0.387,174.4
6/1/2015 5:59,7.876,0,100,0,765.778,0.592,184.7
6/1/2015 6:59,7.335,0,100,8.499902,766.2895,0.46,180.4
6/1/2015 7:59,8.75,0,99,49.00253,766.9102,0.199,147
6/1/2015 8:59,13.92,0,82.6,440.7784,767.3732,1.036,60.09
6/1/2015 9:59,16.44,0,72.8,629.2524,767.3545,1.617,46.87
6/1/2015 10:59,18.89,0,65.05,763.1616,767.1028,1.843,63.17
6/1/2015 11:59,19.76,0,57.08,632.7758,766.5751,2.173,88.1
6/1/2015 12:59,19.95,0,54.01,454.7022,765.95,1.991,75.73
6/1/2015 13:59,18.83,0.2,63.48,302.472,765.0827,0.896,193.3
6/1/2015 14:59,18.05,0.2,71.18,322.4286,764.4665,0.786,235.2
6/1/2015 15:59,17.32,0.1,73.73,125.4967,763.9929,1.312,97.7
6/1/2015 16:59,17.66,0,71.79,136.2212,763.8693,1.444,110.9
6/1/2015 17:59,18.14,0,66.82,49.99961,763.8492,1.644,70.92
6/1/2015 18:59,15.38,0,76.42,1.266089,764.2416,0.607,97.5
6/1/2015 19:59,12.75,0,88.3,0,764.7899,0.403,148.1
6/1/2015 20:59,11.23,0,92.9,0,765.449,0.656,180.7
6/1/2015 21:59,10.25,0,95,0,765.8759,0.713,186.6
6/1/2015 22:59,10.53,0,94.6,0,765.889,0.659,182.7
6/1/2015 23:59,11.16,0,94.8,0,765.9016,0.283,189.7
6/2/2015 0:59,11.16,0,96.5,0,765.6285,0.332,188.8
6/2/2015 1:59,11.18,0,96.7,0,765.2381,0.268,167.2
6/2/2015 2:59,11.19,0,97.5,0,764.9673,0.147,186.7
6/2/2015 3:59,10.87,0,98.3,0,764.6466,0.063,166.2
6/2/2015 4:59,10.77,0,98,0,764.7679,0.283,183.9
6/2/2015 5:59,10.01,0,99.1,0,764.9575,0.481,179.6
