fecha,temp.SayausiPTAPETAPA,precip.SayausiPTAPETAPA,hum.SayausiPTAPETAPA,rad.SayausiPTAPETAPA,pres.SayausiPTAPETAPA,vviento.SayausiPTAPETAPA,dviento.SayausiPTAPETAPA
6/1/2015 0:59,9.08,0,90.9,0,728.7209,0.631,149.6
6/1/2015 1:59,9.66,0,91.2,0,728.4881,0.297,122.8
6/1/2015 2:59,10.19,0,91.7,0,728.1482,0.219,108.6
6/1/2015 3:59,10.35,0,91.6,0,728.098,0.382,118.6
6/1/2015 4:59,9.48,0,94.1,0,728.0513,0.533,104.4
6/1/2015 5:59,8.63,0,95.7,0,728.3384,0.673,102.1
6/1/2015 6:59,8.5,0,93.4,9.828317,728.7144,0.718,110.1
6/1/2015 7:59,9.33,0,93.2,44.24787,729.3544,0.166,101.8
6/1/2015 8:59,11.87,0,87.5,109.8849,729.9272,0.552,147.5
6/1/2015 9:59,14.88,0,75.48,304.2901,730.053,0.935,228.6
6/1/2015 10:59,18.67,0,60.74,581.704,729.9117,1.361,242.8
6/1/2015 11:59,18.29,0,60.68,471.7911,729.5919,0.945,237.2
6/1/2015 12:59,19.13,0,59.15,522.8029,729.0645,1.2,248.3
6/1/2015 13:59,16.21,0.9,72.62,308.4825,728.2979,0.909,240.5
6/1/2015 14:59,13.95,0.1,84.9,199.3471,727.7153,0.592,204.4
6/1/2015 15:59,14.56,0,81.3,190.5013,727.2206,0.572,212.6
6/1/2015 16:59,13.93,0.3,84.3,165.8068,727.1837,0.74,217.9
6/1/2015 17:59,13.27,0,87.2,54.56478,727.1937,0.44,191
6/1/2015 18:59,11.04,0,90.5,1.251648,727.4209,0.528,108.8
6/1/2015 19:59,9.57,0,95.6,0,727.9036,0.469,109.2
6/1/2015 20:59,9.04,0,96.4,0,728.4091,0.685,117.1
6/1/2015 21:59,9.63,0,96,0,728.7615,0.557,168.4
6/1/2015 22:59,10.48,0,94,0,728.7471,0.342,78.46
6/1/2015 23:59,10.56,0,93.7,0,728.7311,0.324,140.7
6/2/2015 0:59,10.37,0,93.2,0,728.4585,0.291,118.6
6/2/2015 1:59,10.11,0,92.7,0,728.0924,0.343,113.5
6/2/2015 2:59,10.2,0,93.8,0,727.8249,0.308,111
6/2/2015 3:59,9.95,0,94.6,0,727.5645,0.352,85.6
6/2/2015 4:59,9.79,0,93,0,727.606,0.211,89.3
6/2/2015 5:59,9.46,0,90.3,0,727.7896,0.382,92.9
6/2/2015 6:59,9.38,0,90.9,14.57378,728.2161,0.41,147.8
6/2/2015 7:59,10.63,0,88.1,76.97099,728.5469,0.262,115.6
6/2/2015 8:59,12.75,0,80.7,112.7054,728.8756,0.431,186.6
6/2/2015 9:59,14.63,0,70.53,289.4573,729.0199,1.008,210.7
6/2/2015 10:59,16.76,0,61.59,378.498,729.0664,0.948,201.8
6/2/2015 11:59,17.22,0,60.35,384.9131,728.9615,0.929,231.6
6/2/2015 12:59,18.21,0,57.91,426.4154,728.2379,1.053,239.1
6/2/2015 13:59,19.11,0,58.15,532.7726,727.3387,1.268,256.6
6/2/2015 14:59,17.63,0,62.19,296.0633,726.7109,0.85,249.3
6/2/2015 15:59,15.72,0,71.25,187.9788,726.5014,0.815,237.1
6/2/2015 16:59,14.88,0,77.37,216.7099,726.6661,0.855,226.8
6/2/2015 17:59,13.1,0,76.21,36.19479,726.6869,0.433,152.1
6/2/2015 18:59,11.29,0,82.1,2.166428,726.8054,0.563,153.2
6/2/2015 19:59,11.63,0,82.2,0,727.5779,0.37,102.6
