Estacion,MAE,RMSE,PBIAS,R2,NSE,KGE
UPS_UPS,0.96,1.15,-4,0.88,0.82,0.89
Cebollar_ETAPA,1.12,1.33,-4.2,0.88,0.83,0.92
CTS_UPS,1.14,1.35,-4.4,0.83,0.77,0.9
Cumbe_UPS,0.95,1.34,-3.3,0.85,0.8,0.71
El_Labrado_ETAPA,1,1.27,-5.1,0.74,0.68,0.84
Izhcayrrumi_ETAPA,0.9,1.13,-8.9,0.67,0.52,0.74
Machangara_Chulco_ETAPA,1.22,1.51,-2.3,0.8,0.74,0.83
Quingeo_UPS,0.98,1.25,-2.1,0.77,0.76,0.86
Sayausi_PTAP_ETAPA,1.17,1.46,-4.6,0.87,0.84,0.9
Tixan_ETAPA,0.95,1.18,-3.6,0.87,0.84,0.92
Tixan_UPS,0.89,1.06,-3.5,0.89,0.84,0.93
Ucubamba_ETAPA,1.2,1.47,-3.5,0.84,0.81,0.89
